,Year,Category,value
486,2007,Lentils  _Production,131.2
487,2008,Lentils  _Production,64.2
488,2009,Lentils  _Production,143.0
489,2010,Lentils  _Production,379.7
490,2011,Lentils  _Production,288.0
491,2012,Lentils  _Production,184.7
492,2013,Lentils  _Production,254.5
493,2014,Lentils  _Production,242.1
494,2015,Lentils  _Production,181.6
495,2016,Lentils  _Production,680.5
496,2017,Lentils  _Production,542.8
497,2018,Lentils  _Production,359.3
498,2019,Lentils  _Production,525.8
499,2020,Lentils  _Production,853.6
500,2021,Lentils  _Production,999.5
501,2022,Lentils  _Production,1688.8
502,2023,Lentils  _Production,1567.9
503,2024,Lentils  _Production,1685.4
504,1989,Lupins  _Area,801.0
505,1990,Lupins  _Area,792.6
506,1991,Lupins  _Area,938.5
507,1992,Lupins  _Area,1032.5
508,1993,Lupins  _Area,1150.4
509,1994,Lupins  _Area,1407.1
510,1995,Lupins  _Area,1322.8
511,1996,Lupins  _Area,1259.2
512,1997,Lupins  _Area,1424.7
513,1998,Lupins  _Area,1406.2
514,1999,Lupins  _Area,1347.1
515,2000,Lupins  _Area,1179.6
516,2001,Lupins  _Area,1138.3
517,2002,Lupins  _Area,1025.4
518,2003,Lupins  _Area,852.0
519,2004,Lupins  _Area,844.7
520,2005,Lupins  _Area,808.9
521,2006,Lupins  _Area,736.4
522,2007,Lupins  _Area,752.2
523,2008,Lupins  _Area,577.2
524,2009,Lupins  _Area,691.6
525,2010,Lupins  _Area,755.8
526,2011,Lupins  _Area,689.1
527,2012,Lupins  _Area,450.2
528,2013,Lupins  _Area,387.4
529,2014,Lupins  _Area,443.1
530,2015,Lupins  _Area,534.1
531,2016,Lupins  _Area,514.6
532,2017,Lupins  _Area,612.0
533,2018,Lupins  _Area,661.1
534,2019,Lupins  _Area,664.6
535,2020,Lupins  _Area,603.9
536,2021,Lupins  _Area,497.1
537,2022,Lupins  _Area,536.4
538,2023,Lupins  _Area,441.0
539,2024,Lupins  _Area,454.5
540,1989,Lupins  _Production,772.0
541,1990,Lupins  _Production,757.7
542,1991,Lupins  _Production,1047.4
543,1992,Lupins  _Production,1195.0
544,1993,Lupins  _Production,1479.7
545,1994,Lupins  _Production,1076.2
546,1995,Lupins  _Production,1559.0
547,1996,Lupins  _Production,1521.9
